7mate,7mat,7mate.free.au,
MTVClassic,MTVC,mtvclassic.paytv.au,
EXPO,EXPO,expo.paytv.au,
BBCKnowledge,BBCK,bbcknowledge.paytv.au,
FOX FOOTY,FOX ,foxfooty.paytv.au,
Universal,Univ,universal.paytv.au,true
Action/AdventureHD,Acti,actionhd.paytv.au,
FOXSPORTSNews,FOXS,foxsportsnews.paytv.au,
MAX,MAX,max.paytv.au,
TV12,TV12,tv12.paytv.au,true
TLC,TLC,tlc.paytv.au,true
111Hits,111H,111hits.paytv.au,true
Bio,Bio,bio.paytv.au,true
LifeStyleFOOD2,Life,lifestylefood2.paytv.au,
ESPN2,ESPN,espn2.paytv.au,
NatGeoWildHD,NatG,natgeowildhd.paytv.au,
SoHo,SoHo,soho.paytv.au,true
MTVNLive,MTVN,mtvnlive.paytv.au,
FOXSPORTS2,FOXS,foxsports2.paytv.au,
SoHoHD,SoHo,sohohd.paytv.au,true
TCM,TCM,tcm.paytv.au,
EurosportNews,Euro,eurosportnews.paytv.au,
13thSTREET2,13th,13thstreet2.paytv.au,true
SCIFI2,SCIF,scifi2.paytv.au,true
FOX8HD,FOX8,fox8hd.paytv.au,
AdultsOnly960,Adul,adultsonly960.paytv.au,
NickJr,Nick,nickjr.paytv.au,true
AIR,AIR,air.paytv.au,
CMC,CMC,cmc.paytv.au,
AEHD,AEHD,aehd.paytv.au,true
MTVHits,MTVH,mtvhits.paytv.au,
QCTV,QCTV,qctv.free.au,
31 Digital,31 D,31digital.free.au,
Extra,Extr,extra.free.au,
Channel 31,Chan,channel31.free.au,
TVS,TVS,tvs.free.au,
WTV,WTV,wtv.free.au,
SBS 2,SBS ,sbs2.free.au,
Extra 2,Extr,extra2.free.au,
