"MX Nationals 2011","Motor Sports",10
"Superstars Series","Motor Sports",10
"Trans Tasman Test","Rugby League",10
"Euro Hockey League","Field Hockey",10
"Rally Championship","Motor Sports",10
"Shannons Nationals","Motor Sports",10
"World Cup 2014 Qualifier","Soccer",10
"La Grande Giostra dei Gol","Soccer",10
"Australian Schoolboys","Rugby Union",10
"College Football","American Football",10
"Intercontinental Rally","Motor Sports",10
"Superstars International","Motor Sports",10
"First Test - Australia v India","Cricket",10
"Football League Highlights Show","Soccer",10
"Third Test - Australia v India","Cricket",10
"Fourth Test - Australia v India","Cricket",10
"Second Test - Australia v India","Cricket",10
"International Super Series ","Field Hockey",10
"Lanco International Super Series","Field Hockey",10
"Hockey: International Super Series","Field Hockey",10
